Ba Jin
Baab, Heinrich
Bax, Ernest Belfort
Baxter, J. Sidlow
Baxter, Richard
Baxter, Stephen
Bayeza, Ifa
Bayle, Pierre
Bayley, Sir John, 1st Baronet
Baylis, Trevor
Bayly, Thomas Haynes
Baziotes, William
Bea–Bel
Beachcomber
Beadle, George
Beagle, Peter S.
Beals, Jennifer
Bear, Greg
Beard, Charles A.
Beard, Henry
Beard, Peter
Beardsley, Aubrey
Beattie, James
Beattie, Peter
Beatty, David, 1st Earl Beatty
Beaumarchais, Pierre
Beaumont, Francis
Princess Beatrice of the United Kingdom
Beaverbrook, 1st Baron
Bechdel, Alison
Beck
Beck, Aaron
Beck, Charlie
Beck, Glenn
Beck, Guido
Beck, Jeff
Beck, Kent
Beck, Martin
Becker, Carl L.
Becker, Ernest
Becker, Gary
Beckett, Samuel
Beckett, Wendy
Beckford, Peter
Beckford, William Thomas
Beckham, David
Beckham, Victoria
Beckinsale, Kate
Beckmann, Max
Becon, Thomas
Beddoes, Thomas Lovell
Beddome, Richard Henry
Bede
Bedi, Protima
Bedingfield, Natasha
Beebe, William
Beecham, Thomas
Beecher, Henry Ward
Beeching, Henry Charles
Beefheart, Captain
Beenakker, Carlo
Beeley, Vanessa
Beer, Anthony Stafford
Beer, Arthur
Beerbohm, Max
Beers, Ethel Lynn
Beethoven, Ludwig van
Begala, Paul
Begin, Menachem
Behan, Brendan
Behar, Joy
Behar, Richard
Beharry, Johnson
Behe, Michael
Behn, Aphra
Behramoğlu, Ataol
Beilin, Yossi
Belafonte, Harry
Belisarius
Bell, Alexander Graham
Bell, Daniel
Bell, Gordon
Bell, John Stewart
Bell, Kristen
Bell, Marvin
Bellah, Robert
Bellamy, Edward
Belle, David
Bellegarrigue, Anselme
Beller, Mara
Belloc, Hilaire
Bellow, Saul
Bellucci, Monica
Belpré, Pura
Belushi, Jim
Belushi, John
Ben–Berk
Benchley, Robert
Benda, Julien
Benedict of Nursia
Benedict XV, Pope
Benedict XVI (Pope)
Benenson, Peter
Benét, Stephen Vincent
Benford, Gregory
Benger, Elizabeth
Ben-Gurion, David
Benioff, Marc
Benítez, Rafael
Benjamin, Judah P.
Benjamin, Park, Sr.
Benjamin, Walter
Benkin, Richard
Benn, Nigel
Benn, Tony
Bennett, Alan
Bennett, Arnold
Bennett, Billy
Bennett, Bruce
Bennett, Tony
Benning, Henry Lewis
Bennis, Warren
Benny, Jack
Benserade, Isaac de
Benson, A. C.
Benson, Amber
Benson, E. F.
Benson, Ezra, Taft
Benson, George
Bentham, Jeremy
Bentley, Edmund Clerihew
Bentley, Elizabeth
Bentley, Richard
Bentsen, Lloyd
Benzine, Craig
Berardinelli, James
Bercovitch, Sacvan
Berays, Edward
Berdimuhammedov, Gurbanguly
Berdyaev, Nikolai
Béranger, Pierre-Jean de
Berenson, Bernard
Beresford, Lord Charles
Berezovsky, Boris
Berg, Alban
Bergdahl, Bowe
Bergen, Edgar
Berger, John
Berger, Ric
Berger, Sandy
Bergerac, Cyrano de
Bergland, Richard
Bergkamp, Dennis
Bergman, Ingmar
Bergman, Ingrid
Bergson, Henri-Louis
Beria, Lavrentiy
Berio, Luciano
Berisha, Sali
Berkeley, George
Berkman, Alexander
Berkofsky, Martin
Berkovic, Eyal
Berl–Bez
Berle, Milton
Berleant, Arnold
Berlet, Chip
Berlin, Irving
Berlin, Isaiah
Berlinerblau, Jacques
Berlinski, Claire
Berlioz, Hector
Berlusconi, Silvio
Berman, Boris
Berman, Chris
Berman, Russell
Bern, Dan
Bernadotte, Folke
Bernal, John Desmond
Bernanke, Ben
Bernanos, Georges
Bernard of Clairvaux
Bernard, Claude
Bernard, Jeffrey
Bernart de Ventadorn
Bernays, Paul
Berne, Eric
Berners-Lee, Tim
Bernhard, Sandra
Bernhardt, Sarah
Berni, Francesco
Bernis, François-Joachim de Pierre de
Bernoulli, Daniel
Bernstein, Andrew
Bernstein, Carl
Bernstein, Charles
Bernstein, Daniel J.
Bernstein, Eduard
Bernstein, Jared
Bernstein, Jeremy
Bernstein, Leonard
Bernus, Peter
Beron, Petar
Berra, Yogi
Berridge, John
Berrigan, Daniel
Berrigan, Philip
Berry, Chuck
Berry, Halle
Berry, Paul
Berry, Scyld
Berry, Siân
Berry, Wendell
Berryman, Guy
Bertin, Jacques
Bertoletti, Leon
Besant, Annie
Besant, Walter
Besset, Timothee
Besson, Luc
Best, George
Bester, Alfred
Beston, Henry
Betancourt, Íngrid
Beteille, Andre
Bethe, Hans
Bethune, George Washington
Betjeman, John
Bettany, Paul
Bettis, Hilary
Bettis, Jerome
Betts, Reginald
Beuys, Joseph
Bevan, Aneurin
Beveridge, William Henry, 1st Baron Beveridge of Tuggal
Beveridge, William Ian Beardmore
Bevin, Ernest
Bezalel, Judah Loew ben
Bezos, Jeff
Bh–Bi
Bhabha, Homi J.
Bhagat, Chetan
Bhagwandas, Rana
Bhagwat, Mohan
Bharathi, Subramanya
Bhatt, Ela
Bhutto, Benazir
Bhutto, Zulfikar Ali
Biafra, Jello
Bias of Priene
Bibesco, Princess Elizabeth
Bichat, Marie François Xavier
Bickerstaffe, Isaac
Bickersteth, Edward (bishop of Exeter)
Bickersteth, Henry, 1st Baron Langdale
Bickerton, A.W.
Bickle, Mike
Bidault, Georges
Biden, Joseph ("Joe")
Bieber, Justin
Biel, Gabriel
Bierce, Ambrose
Big L (rapper)
Bigg, John Stanyan
Biggs, Jason
Bilbo, Theodore G.
Bilić, Slaven
Billig, Michael
Billings, Josh
Billy the Kid
Binchy, Maeve
Binet, Hélène
Bingham, Thomas, Baron Bingham of Cornhill
Binkley, Thomas
Binnig, Gerd
Binoche, Juliette
Binyon, Laurence
Bion of Borysthenes
Biot, Jean-Baptiste
Bird, Brad
Bird, Larry
Bird, Mary Brave
Birdman (entertainer)
Birgeneau, Robert J.
Biriuzov, Sergei
Birkett, William Norman , 1st Baron Birkett
Birrell, Augustine
Birtwistle, Harrison
Bīrūnī, Abū-Rayhān
Bishop, Elizabeth
Bishop, Isabel
Bishop, Jim
Bishop, Michael
Bismarck, Otto von
Bittencourt de Oliveira, Simone
Bittrich, Wilhelm
Bixler-Zavala, Cedric
Bizet, Georges
Bl
Blaauw, Gerrit
Blacc, Aloe
Black Elk
Black, Bob
Black, Conrad
Black, Hugo
Black, Jack
Black, Joseph
Black, Lewis
Blackburn, Colin, Baron Blackburn
Blackburn, Olly
Blackburn, Simon
Blacker, Valentine
Blacker, William
Blackie, John Stuart
Blackmore, Richard
Blackmore, Ritchie
Blackmore, Susan
Blackmun, Harry
Blackstone, William
Blackwell, Nigel
Blackwood, Helen, Baroness Dufferin and Claneboye
Blackwood, Richard
Blades, Rubén
Blagojevich, Rod
Blaine, David
Blaine, James G.
Blair, Cherie
Blair Hugh
Blair, Robert
Blair, Tony
Blake, James
Blake, Kendare
Blake, Peter
Blake, William
Blakemore, Colin
Blakey, Art
Blalock, Jolene
Blanc, Raymond
Blanchard, Olivier
Blanchard, Samuel Laman
Blanchett, Cate
Blanchflower, David
Blanco, Cuauhtémoc
Blanco, Richard
Blandy, William H. P.
Blatchford, Robert
Blavatsky, Helena Petrovna
Blears, Hazel
Bledel, Alexis
Bleecker, Ann Eliza
Bleibtreu-Ehrenberg, Gisela
Bleu, Corbin
Blinder, Alan
Blish, James
Blix, Hans
Blixen, Karen
Blobel, Paul
Bloch, Ernst
Bloch, Felix
Blodget, Henry
Bloembergen, Nicolaas
Blok, Alexander
Blom, Eric
Blomberg, Werner von
Blond, Phillip
Bloom, Allan
Bloom, Godfrey
Bloom, Harold
Bloom, Howard
Bloom, Orlando
Bloom, Paul
Bloomberg, Michael
Bloomfield, Robert
Blount, Roy
Blow, Charles McRay
Blu (rapper)
Blum, William
Blume, Judy
Blumenauer, Earl
Blunden, Edmund Charles
Blunt, James
Blunt, Wilfrid Scawen
Bly, Robert W.
Blyleven, Bert
Blythe, Randy
Boa–Boo
Boal, Augusto
Boardman, George, the Younger
Boarman, Charles
Boas, Franz
Boateng, Kevin-Prince
Boaz, David
Bobbio, Norberto
Boccaccio, Giovanni
Boccioni, Umberto
Bochner, Mel
Boe, Christoffer
Boehm, Barry
Boehner, John
Boesky, Ivan
Boethius, Anicius Manlius Severinus
Bogart, Humphrey
Bogart, Neil
Bogdanov, Alexander
Boggs, Hale
Bogle, John
Bohlin, Nils
